participant_id,video_id,region,region_tr,gaze_count,total_duration,percentage,rank,is_top_region
1,kisi1video1,nose,Burun,56,1.85,32.75,1,1
1,kisi1video1,left_eye,Sol Göz,45,1.49,26.32,2,0
1,kisi1video1,right_eye,Sağ Göz,15,0.49,8.77,3,0
1,kisi1video1,right_cheek,Sağ Yanak,14,0.46,8.19,4,0
1,kisi1video1,forehead,Alın,14,0.46,8.19,4,0
1,kisi1video1,left_cheek,Sol Yanak,11,0.36,6.43,6,0
1,kisi1video2,left_eye,Sol Göz,70,2.31,43.21,1,1
1,kisi1video2,nose,Burun,25,0.83,15.43,2,0
1,kisi1video2,right_eye,Sağ Göz,16,0.53,9.88,3,0
1,kisi1video2,forehead,Alın,16,0.53,9.88,3,0
1,kisi1video2,left_cheek,Sol Yanak,11,0.36,6.79,5,0
1,kisi1video2,right_cheek,Sağ Yanak,8,0.26,4.94,6,0
1,kisi1video3,nose,Burun,64,2.11,39.26,1,1
1,kisi1video3,left_eye,Sol Göz,45,1.49,27.61,2,0
1,kisi1video3,right_eye,Sağ Göz,18,0.59,11.04,3,0
1,kisi1video3,right_cheek,Sağ Yanak,6,0.2,3.68,4,0
1,kisi1video3,forehead,Alın,5,0.17,3.07,5,0
1,kisi1video4,left_eye,Sol Göz,84,2.77,52.17,1,1
1,kisi1video4,forehead,Alın,47,1.55,29.19,2,0
1,kisi1video4,right_eye,Sağ Göz,18,0.59,11.18,3,0
1,kisi1video5,right_eye,Sağ Göz,43,1.42,27.74,1,1
1,kisi1video5,left_eye,Sol Göz,37,1.22,23.87,2,0
1,kisi1video5,right_cheek,Sağ Yanak,22,0.73,14.19,3,0
1,kisi1video5,nose,Burun,21,0.69,13.55,4,0
1,kisi1video5,forehead,Alın,15,0.49,9.68,5,0
1,kisi1video6,right_eye,Sağ Göz,50,1.65,31.25,1,1
1,kisi1video6,nose,Burun,38,1.25,23.75,2,0
1,kisi1video6,left_eye,Sol Göz,35,1.16,21.88,3,0
1,kisi1video6,forehead,Alın,9,0.3,5.62,4,0
1,kisi2video1,left_eye,Sol Göz,53,1.75,32.12,1,1
1,kisi2video1,nose,Burun,27,0.89,16.36,2,0
1,kisi2video1,unknown,Bilinmeyen,17,0.56,10.3,3,0
1,kisi2video1,forehead,Alın,12,0.4,7.27,4,0
1,kisi2video1,right_eye,Sağ Göz,11,0.36,6.67,5,0
1,kisi2video1,left_cheek,Sol Yanak,3,0.1,1.82,6,0
1,kisi2video1,right_cheek,Sağ Yanak,2,0.07,1.21,7,0
1,kisi2video2,right_eye,Sağ Göz,49,1.62,30.06,1,1
1,kisi2video2,left_eye,Sol Göz,45,1.49,27.61,2,0
1,kisi2video2,nose,Burun,29,0.96,17.79,3,0
1,kisi2video2,mouth,Ağız,12,0.4,7.36,4,0
1,kisi2video2,forehead,Alın,11,0.36,6.75,5,0
1,kisi2video2,left_cheek,Sol Yanak,6,0.2,3.68,6,0
1,kisi2video2,unknown,Bilinmeyen,6,0.2,3.68,6,0
1,kisi2video2,right_cheek,Sağ Yanak,1,0.03,0.61,8,0
1,kisi2video3,forehead,Alın,58,1.91,34.12,1,1
1,kisi2video3,left_eye,Sol Göz,29,0.96,17.06,2,0
1,kisi2video3,right_eye,Sağ Göz,20,0.66,11.76,3,0
1,kisi2video3,right_cheek,Sağ Yanak,2,0.07,1.18,4,0
1,kisi2video3,nose,Burun,1,0.03,0.59,5,0
1,kisi2video4,forehead,Alın,82,2.71,42.27,1,1
1,kisi2video4,mouth,Ağız,37,1.22,19.07,2,0
1,kisi2video4,left_eye,Sol Göz,26,0.86,13.4,3,0
1,kisi2video4,left_cheek,Sol Yanak,16,0.53,8.25,4,0
1,kisi2video4,right_cheek,Sağ Yanak,7,0.23,3.61,5,0
1,kisi2video4,nose,Burun,2,0.07,1.03,6,0
1,kisi2video5,left_eye,Sol Göz,45,1.49,23.81,1,1
1,kisi2video5,nose,Burun,34,1.12,17.99,2,0
1,kisi2video5,right_eye,Sağ Göz,30,0.99,15.87,3,0
1,kisi2video5,left_cheek,Sol Yanak,28,0.92,14.81,4,0
1,kisi2video5,forehead,Alın,20,0.66,10.58,5,0
1,kisi2video5,mouth,Ağız,2,0.07,1.06,6,0
1,kisi2video6,forehead,Alın,87,2.87,46.77,1,1
1,kisi2video6,left_eye,Sol Göz,36,1.19,19.35,2,0
1,kisi2video6,right_eye,Sağ Göz,17,0.56,9.14,3,0
1,kisi2video6,unknown,Bilinmeyen,9,0.3,4.84,4,0
1,kisi2video6,mouth,Ağız,8,0.26,4.3,5,0
1,kisi2video6,nose,Burun,2,0.07,1.08,6,0
1,kisi2video6,chin,Çene,1,0.03,0.54,7,0
1,kisi3video1,left_eye,Sol Göz,49,1.62,31.21,1,1
1,kisi3video1,nose,Burun,28,0.92,17.83,2,0
1,kisi3video1,left_cheek,Sol Yanak,28,0.92,17.83,2,0
1,kisi3video1,right_eye,Sağ Göz,27,0.89,17.2,4,0
1,kisi3video1,right_cheek,Sağ Yanak,16,0.53,10.19,5,0
1,kisi3video1,forehead,Alın,1,0.03,0.64,6,0
1,kisi3video2,left_eye,Sol Göz,45,1.49,24.46,1,1
1,kisi3video2,right_cheek,Sağ Yanak,39,1.29,21.2,2,0
1,kisi3video2,right_eye,Sağ Göz,36,1.19,19.57,3,0
1,kisi3video2,nose,Burun,33,1.09,17.93,4,0
1,kisi3video2,left_cheek,Sol Yanak,17,0.56,9.24,5,0
1,kisi3video3,left_eye,Sol Göz,42,1.39,26.09,1,1
1,kisi3video3,right_eye,Sağ Göz,31,1.02,19.25,2,0
1,kisi3video3,left_cheek,Sol Yanak,24,0.79,14.91,3,0
1,kisi3video3,forehead,Alın,20,0.66,12.42,4,0
1,kisi3video3,right_cheek,Sağ Yanak,17,0.56,10.56,5,0
1,kisi3video3,nose,Burun,9,0.3,5.59,6,0
1,kisi3video4,nose,Burun,51,1.68,28.98,1,1
1,kisi3video4,right_cheek,Sağ Yanak,50,1.65,28.41,2,0
1,kisi3video4,right_eye,Sağ Göz,30,0.99,17.05,3,0
1,kisi3video4,left_cheek,Sol Yanak,30,0.99,17.05,3,0
1,kisi3video4,left_eye,Sol Göz,6,0.2,3.41,5,0
1,kisi3video4,forehead,Alın,2,0.07,1.14,6,0
1,kisi3video5,left_eye,Sol Göz,55,1.82,32.16,1,1
1,kisi3video5,right_eye,Sağ Göz,40,1.32,23.39,2,0
1,kisi3video5,right_cheek,Sağ Yanak,33,1.09,19.3,3,0
1,kisi3video5,nose,Burun,14,0.46,8.19,4,0
1,kisi3video5,left_cheek,Sol Yanak,11,0.36,6.43,5,0
1,kisi3video5,forehead,Alın,6,0.2,3.51,6,0
1,kisi3video6,nose,Burun,43,1.42,26.54,1,1
1,kisi3video6,right_cheek,Sağ Yanak,43,1.42,26.54,1,0
1,kisi3video6,left_eye,Sol Göz,38,1.25,23.46,3,0
1,kisi3video6,right_eye,Sağ Göz,24,0.79,14.81,4,0
1,kisi3video6,left_cheek,Sol Yanak,8,0.26,4.94,5,0
